algorithm,uavs,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime
PSO,15,50,15,0.94,1.0,16.947183500044048
DPSO,15,50,15,1.0,1.0,43.14208999997936
DMMP-PR-TSA,16,50,16,0.84,0.75,0.5462593000847846
DMMP-R-RL-AC,16,50,16,0.92,1.0,34.89935180009343
Greedy-Nearest,16,50,16,0.76,1.0,0.010682400083169341
PSO,16,50,16,0.94,1.0,18.359017399838194
DPSO,16,50,16,1.0,1.0,45.33716470003128
DMMP-PR-TSA,17,50,17,0.8,1.0,0.5400751999113709
DMMP-R-RL-AC,17,50,17,0.92,1.0,37.119284900138155
Greedy-Nearest,17,50,17,0.7,1.0,0.013865499990060925
PSO,17,50,17,0.98,1.0,21.942808100022376
DPSO,17,50,17,1.0,1.0,49.57944420003332
DMMP-PR-TSA,18,50,18,0.82,0.75,0.6315637000370771
DMMP-R-RL-AC,18,50,18,0.96,1.0,27.190124799963087
Greedy-Nearest,18,50,18,0.68,0.25,0.011749600060284138
PSO,18,50,18,0.96,1.0,20.56355269998312
DPSO,18,50,18,1.0,1.0,45.35697990003973
DMMP-PR-TSA,19,50,19,0.76,1.0,0.5214629999827594
DMMP-R-RL-AC,19,50,19,0.92,1.0,34.31665220018476
Greedy-Nearest,19,50,19,0.84,1.0,0.012423999840393662
PSO,19,50,19,0.96,1.0,20.912899000104517
DPSO,19,50,19,1.0,1.0,47.309615299804136
DMMP-PR-TSA,20,50,20,0.94,1.0,0.4797679001931101
DMMP-R-RL-AC,20,50,20,0.98,1.0,14.460311000002548
Greedy-Nearest,20,50,20,0.78,0.25,0.013574999989941716
PSO,20,50,20,0.98,1.0,21.39207910001278
DPSO,20,50,20,1.0,1.0,50.50577750010416
