algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
PSO,,50,5,0.56,0.85,11.491564499912784,5.0
DPSO,,50,5,0.64,0.75,34.96741640008986,5.0
DMMP-PR-TSA,,50,6,0.58,0.7,0.9205583999864757,6.0
DMMP-R-RL-AC,,50,6,0.74,0.85,45.513748900033534,6.0
Greedy-Nearest,,50,6,0.7,0.6,0.00915789999999106,6.0
PSO,,50,6,0.52,0.8,12.816874099895358,6.0
DPSO,,50,6,0.58,0.6,36.98157879989594,6.0
DMMP-PR-TSA,,50,7,0.74,0.8,0.5850896001793444,7.0
DMMP-R-RL-AC,,50,7,0.88,0.95,68.84569099987857,7.0
Greedy-Nearest,,50,7,0.76,0.7,0.011521700071170926,7.0
PSO,,50,7,0.7,0.9,13.524970700033009,7.0
DPSO,,50,7,0.92,0.95,38.05087470007129,7.0
DMMP-PR-TSA,,50,8,0.82,0.95,0.5198832000605762,8.0
DMMP-R-RL-AC,,50,8,0.92,1.0,59.57642050017603,8.0
Greedy-Nearest,,50,8,0.8,0.7,0.012793299974873662,8.0
PSO,,50,8,0.8,0.9,15.384634400019422,8.0
DPSO,,50,8,0.96,0.9,52.086977400118485,8.0
DMMP-PR-TSA,,50,9,0.68,0.7,0.6419574001338333,9.0
DMMP-R-RL-AC,,50,9,0.92,0.95,32.30970889981836,9.0
Greedy-Nearest,,50,9,0.78,0.8,0.015851600095629692,9.0
PSO,,50,9,0.74,0.9,16.637225799961016,9.0
DPSO,,50,9,0.98,1.0,44.88620879990049,9.0
DMMP-PR-TSA,,50,10,0.8,0.85,0.9796076000202447,10.0
DMMP-R-RL-AC,,50,10,0.92,0.95,28.406970100011677,10.0
Greedy-Nearest,,50,10,0.78,0.8,0.013691100059077144,10.0
PSO,,50,10,0.82,0.85,19.72228129999712,10.0
DPSO,,50,10,1.0,1.0,51.938890899997205,10.0
DMMP-PR-TSA,,50,11,0.96,1.0,0.7956912000663579,11.0
DMMP-R-RL-AC,,50,11,1.0,1.0,23.18060899991542,11.0
Greedy-Nearest,,50,11,0.86,1.0,0.017456699861213565,11.0
PSO,,50,11,0.94,1.0,21.921276499982923,11.0
DPSO,,50,11,1.0,1.0,56.1991008000914,11.0
DMMP-PR-TSA,,50,12,0.72,0.8,0.8746792001184076,12.0
DMMP-R-RL-AC,,50,12,0.94,1.0,39.13874289998785,12.0
Greedy-Nearest,,50,12,0.84,0.9,0.021964099956676364,12.0
PSO,,50,12,0.9,0.95,23.230672200210392,12.0
DPSO,,50,12,1.0,1.0,48.19187119998969,12.0
DMMP-PR-TSA,,50,13,1.0,1.0,0.493090899894014,13.0
DMMP-R-RL-AC,,50,13,1.0,1.0,12.545968800084665,13.0
Greedy-Nearest,,50,13,0.8,0.6,0.017457899870350957,13.0
PSO,,50,13,0.9,0.95,21.812534200027585,13.0
DPSO,,50,13,1.0,1.0,52.13546119979583,13.0
DMMP-PR-TSA,,50,14,1.0,1.0,0.6831998000852764,14.0
DMMP-R-RL-AC,,50,14,1.0,1.0,11.820369000080973,14.0
Greedy-Nearest,,50,14,0.9,0.9,0.024839299963787198,14.0
PSO,,50,14,0.96,1.0,23.838288799859583,14.0
DPSO,,50,14,1.0,1.0,56.10364340012893,14.0
DMMP-PR-TSA,,50,15,1.0,1.0,0.6971781000029296,15.0
DMMP-R-RL-AC,,50,15,1.0,1.0,8.734012100147083,15.0
Greedy-Nearest,,50,15,0.9,0.9,0.017441200092434883,15.0
PSO,,50,15,0.96,1.0,23.356447000056505,15.0
DPSO,,50,15,1.0,1.0,57.16492050001398,15.0
DMMP-PR-TSA,,50,16,1.0,1.0,0.6272853000555187,16.0
DMMP-R-RL-AC,,50,16,1.0,1.0,8.773585199844092,16.0
Greedy-Nearest,,50,16,0.9,0.9,0.02063439995981753,16.0
PSO,,50,16,1.0,1.0,25.045879299985245,16.0
DPSO,,50,16,1.0,1.0,60.844413000158966,16.0
DMMP-PR-TSA,,50,17,1.0,1.0,0.7532666001934558,17.0
DMMP-R-RL-AC,,50,17,1.0,1.0,8.992252100026235,17.0
Greedy-Nearest,,50,17,0.86,0.7,0.02236800012178719,17.0
PSO,,50,17,0.96,0.95,23.535649199970067,17.0
DPSO,,50,17,1.0,1.0,50.28898730012588,17.0
DMMP-PR-TSA,,50,18,1.0,1.0,0.5880456999875605,18.0
DMMP-R-RL-AC,,50,18,1.0,1.0,11.659889800008386,18.0
Greedy-Nearest,,50,18,0.8,0.6,0.021387100219726562,18.0
PSO,,50,18,1.0,1.0,24.856166700134054,18.0
DPSO,,50,18,1.0,1.0,54.872245399979874,18.0
DMMP-PR-TSA,,50,19,1.0,1.0,0.5421182999853045,19.0
DMMP-R-RL-AC,,50,19,1.0,1.0,8.392349699977785,19.0
Greedy-Nearest,,50,19,0.7,0.85,0.02265820000320673,19.0
PSO,,50,19,1.0,1.0,23.656405699905008,19.0
DPSO,,50,19,1.0,1.0,54.73208300000988,19.0
DMMP-PR-TSA,,50,20,1.0,1.0,1.2923632999882102,20.0
DMMP-R-RL-AC,,50,20,1.0,1.0,8.941722499905154,20.0
Greedy-Nearest,,50,20,0.76,0.55,0.015661400044336915,20.0
PSO,,50,20,1.0,1.0,24.25653290003538,20.0
DPSO,,50,20,1.0,1.0,54.56079830019735,20.0
