algorithm,tasks,num_tasks,num_uavs,completion_rate,high_priority_completion_rate,runtime,uavs
DMMP-R-RL-AC,70.0,70,5,0.5857142857142857,0.9565217391304348,156.5811614000704,
Greedy-Nearest,70.0,70,5,0.5428571428571428,0.8260869565217391,0.01102610002271831,
PSO,70.0,70,5,0.45714285714285713,0.5652173913043478,19.00962070003152,
DMMP-PR-TSA,80.0,80,5,0.3625,0.6785714285714286,1.6244649000000209,
DMMP-R-RL-AC,80.0,80,5,0.5875,0.9285714285714286,218.3399841999635,
Greedy-Nearest,80.0,80,5,0.5375,0.7142857142857143,0.008236299967393279,
PSO,80.0,80,5,0.3125,0.42857142857142855,19.4067856001202,
DMMP-PR-TSA,90.0,90,5,0.26666666666666666,0.4838709677419355,1.1236294999253005,
DMMP-R-RL-AC,90.0,90,5,0.5333333333333333,0.8387096774193549,219.39211210003123,
Greedy-Nearest,90.0,90,5,0.5111111111111111,0.7096774193548387,0.013606499880552292,
PSO,90.0,90,5,0.3,0.3870967741935484,17.71842520008795,
DMMP-PR-TSA,100.0,100,5,0.28,0.5142857142857142,1.1310880999080837,
DMMP-R-RL-AC,100.0,100,5,0.5,0.8,280.1749476999976,
Greedy-Nearest,100.0,100,5,0.47,0.6857142857142857,0.012137299869209528,
PSO,100.0,100,5,0.24,0.4,21.838491099886596,
DMMP-PR-TSA,,50,3,0.28,0.55,0.7240406998898834,3.0
DMMP-R-RL-AC,,50,3,0.46,0.7,66.5450484000612,3.0
Greedy-Nearest,,50,3,0.36,0.45,0.007922800024971366,3.0
PSO,,50,3,0.32,0.4,11.131720500066876,3.0
DMMP-PR-TSA,,50,4,0.42,0.65,0.623361200094223,4.0
DMMP-R-RL-AC,,50,4,0.66,0.85,97.1250982999336,4.0
Greedy-Nearest,,50,4,0.5,0.75,0.006939699873328209,4.0
PSO,,50,4,0.42,0.45,11.16352179995738,4.0
DMMP-PR-TSA,,50,5,0.36,0.5,0.5379272999707609,5.0
DMMP-R-RL-AC,,50,5,0.76,0.95,122.49398909998126,5.0
Greedy-Nearest,,50,5,0.64,0.9,0.012139400001615286,5.0
PSO,,50,5,0.56,0.85,11.60219720005989,5.0
DMMP-PR-TSA,,50,6,0.58,0.7,0.6914466000162065,6.0
DMMP-R-RL-AC,,50,6,0.74,0.85,40.05635159998201,6.0
Greedy-Nearest,,50,6,0.7,0.6,0.012938499916344881,6.0
PSO,,50,6,0.52,0.8,15.225495900027454,6.0
DMMP-PR-TSA,,50,7,0.74,0.8,0.6539350999519229,7.0
DMMP-R-RL-AC,,50,7,0.88,0.95,69.5207186001353,7.0
Greedy-Nearest,,50,7,0.76,0.7,0.007965600118041039,7.0
PSO,,50,7,0.7,0.9,11.928163400152698,7.0
DMMP-PR-TSA,,50,8,0.82,0.95,0.47515979991294444,8.0
DMMP-R-RL-AC,,50,8,0.92,1.0,52.90755320014432,8.0
Greedy-Nearest,,50,8,0.8,0.7,0.008975599892437458,8.0
PSO,,50,8,0.8,0.9,11.248213300015777,8.0
DMMP-PR-TSA,,50,9,0.68,0.7,0.6501097001601011,9.0
DMMP-R-RL-AC,,50,9,0.92,0.95,26.671354199992493,9.0
Greedy-Nearest,,50,9,0.78,0.8,0.011010499903932214,9.0
PSO,,50,9,0.74,0.9,18.063176499912515,9.0
DMMP-PR-TSA,,50,10,0.8,0.85,0.7956387000158429,10.0
DMMP-R-RL-AC,,50,10,0.92,0.95,20.142454999964684,10.0
Greedy-Nearest,,50,10,0.78,0.8,0.010732700116932392,10.0
PSO,,50,10,0.82,0.85,15.389332499820739,10.0
DMMP-PR-TSA,,50,11,0.96,1.0,0.5721217000391334,11.0
DMMP-R-RL-AC,,50,11,1.0,1.0,16.18719570012763,11.0
Greedy-Nearest,,50,11,0.86,1.0,0.019696200033649802,11.0
PSO,,50,11,0.94,1.0,19.692044199910015,11.0
DMMP-PR-TSA,,50,12,0.72,0.8,0.5402481998316944,12.0
DMMP-R-RL-AC,,50,12,0.94,1.0,27.73697159998119,12.0
Greedy-Nearest,,50,12,0.84,0.9,0.012504500104114413,12.0
PSO,,50,12,0.9,0.95,16.027617800049484,12.0
DMMP-PR-TSA,,50,13,1.0,1.0,0.48215870000422,13.0
DMMP-R-RL-AC,,50,13,1.0,1.0,10.21573009993881,13.0
Greedy-Nearest,,50,13,0.8,0.6,0.012541300151497126,13.0
PSO,,50,13,0.9,0.95,15.916919799987227,13.0
DMMP-PR-TSA,,50,14,1.0,1.0,0.38864929997362196,14.0
DMMP-R-RL-AC,,50,14,1.0,1.0,7.622676400002092,14.0
Greedy-Nearest,,50,14,0.9,0.9,0.014963600086048245,14.0
PSO,,50,14,0.96,1.0,15.552319800015539,14.0
DMMP-PR-TSA,,50,15,1.0,1.0,0.3296664000954479,15.0
DMMP-R-RL-AC,,50,15,1.0,1.0,6.479556099977344,15.0
Greedy-Nearest,,50,15,0.9,0.9,0.01218360010534525,15.0
PSO,,50,15,0.96,1.0,18.12261109985411,15.0
DMMP-PR-TSA,,50,16,1.0,1.0,0.6002831999212503,16.0
DMMP-R-RL-AC,,50,16,1.0,1.0,7.257855599978939,16.0
Greedy-Nearest,,50,16,0.9,0.9,0.019809999968856573,16.0
PSO,,50,16,1.0,1.0,16.717280799988657,16.0
DMMP-PR-TSA,,50,17,1.0,1.0,0.4704553000628948,17.0
DMMP-R-RL-AC,,50,17,1.0,1.0,5.871341400081292,17.0
Greedy-Nearest,,50,17,0.86,0.7,0.017185700125992298,17.0
PSO,,50,17,0.96,0.95,19.400868699885905,17.0
DMMP-PR-TSA,,50,18,1.0,1.0,0.5288193000014871,18.0
DMMP-R-RL-AC,,50,18,1.0,1.0,10.331036900170147,18.0
Greedy-Nearest,,50,18,0.8,0.6,0.017039800062775612,18.0
PSO,,50,18,1.0,1.0,19.45153469988145,18.0
DMMP-PR-TSA,,50,19,1.0,1.0,0.43654440017417073,19.0
DMMP-R-RL-AC,,50,19,1.0,1.0,6.142983099911362,19.0
Greedy-Nearest,,50,19,0.7,0.85,0.014111500000581145,19.0
PSO,,50,19,1.0,1.0,19.0007176999934,19.0
DMMP-PR-TSA,,50,20,1.0,1.0,1.0153757999651134,20.0
DMMP-R-RL-AC,,50,20,1.0,1.0,7.249382900074124,20.0
Greedy-Nearest,,50,20,0.76,0.55,0.012677100021392107,20.0
PSO,,50,20,1.0,1.0,19.351788399973884,20.0
